Secret key name,Consumed API,Consumed model,Amount spent,Amount After Voucher,Input usage quantity,Output usage quantity,Total usage quantity,Consumption time(UTC),Consumption status
coding_plan,cache-read(Text API),MiniMax-M2.5-highspeed,0.0000,0.0000,6178202,0,6178202,2026-03-12 23:00-24:00,SUCCESS
coding_plan,cache-read(Text API),MiniMax-M2.5,0.0000,0.0000,157925,0,157925,2026-03-12 23:00-24:00,SUCCESS
coding_plan,chatcompletion-v2(Text API),MiniMax-M2.5-highspeed,0.0000,0.0000,257063,24806,281869,2026-03-12 23:00-24:00,SUCCESS
coding_plan,chatcompletion-v2(Text API),MiniMax-M2,0.0000,0.0000,2247799,13675,2261474,2026-03-12 23:00-24:00,SUCCESS
coding_plan,chatcompletion-v2(Text API),MiniMax-M2.5,0.0000,0.0000,28839,2684,31523,2026-03-12 23:00-24:00,SUCCESS
coding_plan,cache-read(Text API),MiniMax-M2.5-highspeed,0.0000,0.0000,5867592,0,5867592,2026-03-12 22:00-23:00,SUCCESS
coding_plan,cache-read(Text API),MiniMax-M2.5,0.0000,0.0000,517072,0,517072,2026-03-12 22:00-23:00,SUCCESS
coding_plan,chatcompletion-v2(Text API),MiniMax-M2.5-highspeed,0.0000,0.0000,126411,15992,142403,2026-03-12 22:00-23:00,SUCCESS
coding_plan,chatcompletion-v2(Text API),MiniMax-M2,0.0000,0.0000,953202,2657,955859,2026-03-12 22:00-23:00,SUCCESS
coding_plan,chatcompletion-v2(Text API),MiniMax-M2.5,0.0000,0.0000,80984,3208,84192,2026-03-12 22:00-23:00,SUCCESS
coding_plan,cache-read(Text API),MiniMax-M2.5-highspeed,0.0000,0.0000,4346999,0,4346999,2026-03-12 21:00-22:00,SUCCESS
coding_plan,cache-read(Text API),MiniMax-M2.5,0.0000,0.0000,760495,0,760495,2026-03-12 21:00-22:00,SUCCESS
coding_plan,chatcompletion-v2(Text API),MiniMax-M2.5-highspeed,0.0000,0.0000,532241,5529,537770,2026-03-12 21:00-22:00,SUCCESS
coding_plan,chatcompletion-v2(Text API),MiniMax-M2,0.0000,0.0000,2602534,5526,2608060,2026-03-12 21:00-22:00,SUCCESS
coding_plan,chatcompletion-v2(Text API),MiniMax-M2.5,0.0000,0.0000,52189,3317,55506,2026-03-12 21:00-22:00,SUCCESS
coding_plan,cache-read(Text API),MiniMax-M2.5,0.0000,0.0000,132584,0,132584,2026-03-12 20:00-21:00,SUCCESS
coding_plan,chatcompletion-v2(Text API),MiniMax-M2,0.0000,0.0000,985701,473,986174,2026-03-12 20:00-21:00,SUCCESS
coding_plan,chatcompletion-v2(Text API),MiniMax-M2.5,0.0000,0.0000,26204,1717,27921,2026-03-12 20:00-21:00,SUCCESS
coding_plan,cache-read(Text API),MiniMax-M2.5,0.0000,0.0000,458948,0,458948,2026-03-12 19:00-20:00,SUCCESS
coding_plan,chatcompletion-v2(Text API),MiniMax-M2,0.0000,0.0000,2213396,10405,2223801,2026-03-12 19:00-20:00,SUCCESS
coding_plan,chatcompletion-v2(Text API),MiniMax-M2.5,0.0000,0.0000,46508,3906,50414,2026-03-12 19:00-20:00,SUCCESS
coding_plan,cache-read(Text API),MiniMax-M2.5-highspeed,0.0000,0.0000,2362355,0,2362355,2026-03-12 18:00-19:00,SUCCESS
coding_plan,cache-read(Text API),MiniMax-M2.1,0.0000,0.0000,89838,0,89838,2026-03-12 18:00-19:00,SUCCESS
coding_plan,cache-read(Text API),MiniMax-M2.5,0.0000,0.0000,187106,0,187106,2026-03-12 18:00-19:00,SUCCESS
coding_plan,chatcompletion-v2(Text API),MiniMax-M2.5-highspeed,0.0000,0.0000,739795,3884,743679,2026-03-12 18:00-19:00,SUCCESS
coding_plan,chatcompletion-v2(Text API),MiniMax-M2,0.0000,0.0000,1547330,775,1548105,2026-03-12 18:00-19:00,SUCCESS
coding_plan,chatcompletion-v2(Text API),MiniMax-M2.1,0.0000,0.0000,25129,634,25763,2026-03-12 18:00-19:00,SUCCESS
coding_plan,chatcompletion-v2(Text API),MiniMax-M2.5,0.0000,0.0000,26136,2870,29006,2026-03-12 18:00-19:00,SUCCESS
coding_plan,cache-read(Text API),MiniMax-M2.5-highspeed,0.0000,0.0000,3587325,0,3587325,2026-03-12 17:00-18:00,SUCCESS
coding_plan,cache-read(Text API),MiniMax-M2.1,0.0000,0.0000,73201,0,73201,2026-03-12 17:00-18:00,SUCCESS
coding_plan,cache-read(Text API),MiniMax-M2.5,0.0000,0.0000,466116,0,466116,2026-03-12 17:00-18:00,SUCCESS
coding_plan,chatcompletion-v2(Text API),MiniMax-M2.5-highspeed,0.0000,0.0000,3623282,8424,3631706,2026-03-12 17:00-18:00,SUCCESS
coding_plan,chatcompletion-v2(Text API),MiniMax-M2,0.0000,0.0000,2846700,8801,2855501,2026-03-12 17:00-18:00,SUCCESS
coding_plan,chatcompletion-v2(Text API),MiniMax-M2.1,0.0000,0.0000,25641,624,26265,2026-03-12 17:00-18:00,SUCCESS
coding_plan,chatcompletion-v2(Text API),MiniMax-M2.5,0.0000,0.0000,43669,3303,46972,2026-03-12 17:00-18:00,SUCCESS
coding_plan,cache-read(Text API),MiniMax-M2.5-highspeed,0.0000,0.0000,312135,0,312135,2026-03-12 16:00-17:00,SUCCESS
coding_plan,cache-read(Text API),MiniMax-M2.1,0.0000,0.0000,66801,0,66801,2026-03-12 16:00-17:00,SUCCESS
coding_plan,cache-read(Text API),MiniMax-M2.5,0.0000,0.0000,861338,0,861338,2026-03-12 16:00-17:00,SUCCESS
coding_plan,chatcompletion-v2(Text API),MiniMax-M2.5-highspeed,0.0000,0.0000,327693,749,328442,2026-03-12 16:00-17:00,SUCCESS
coding_plan,chatcompletion-v2(Text API),MiniMax-M2,0.0000,0.0000,827182,448,827630,2026-03-12 16:00-17:00,SUCCESS
coding_plan,chatcompletion-v2(Text API),MiniMax-M2.1,0.0000,0.0000,16871,767,17638,2026-03-12 16:00-17:00,SUCCESS
coding_plan,chatcompletion-v2(Text API),MiniMax-M2.5,0.0000,0.0000,45937,5000,50937,2026-03-12 16:00-17:00,SUCCESS
coding_plan,cache-read(Text API),MiniMax-M2.5-highspeed,0.0000,0.0000,2528934,0,2528934,2026-03-12 15:00-16:00,SUCCESS
coding_plan,cache-read(Text API),MiniMax-M2.1,0.0000,0.0000,73713,0,73713,2026-03-12 15:00-16:00,SUCCESS
